Group;Species;Temp;Body mass;Respiration;Respiratio 15 C;Spec Resp 15C ;Source;Source;;;
Calanoida;Calanus propinquus;-1;4.55E-01;1.18E+00;6.12E+00;1.35E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia gerlachi;-1.4;1.20E-01;3.20E-01;1.73E+00;1.44E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanoides acutus C5;-0.2;1.93E-01;2.11E-01;1.01E+00;5.21E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanoides acutus C4,5;-0.6;1.21E-01;1.63E-01;8.10E-01;6.70E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus finmarchicus female;0.1;2.15E-01;3.28E-01;1.52E+00;7.09E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus glacialis female;1.9;2.23E-01;6.16E-01;2.37E+00;1.07E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus hyperboreus female;1.3;2.34E+00;1.49E+00;6.09E+00;2.60E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus hyperboreus C5;0.9;1.12E+00;1.03E+00;4.39E+00;3.93E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus hyperboreus C5;-0.3;1.63E+00;1.05E+00;5.09E+00;3.12E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia longa female;0.1;1.68E-01;4.06E-01;1.88E+00;1.12E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Rhincalanus gigas;-1.7;5.03E-01;4.37E-01;2.44E+00;4.85E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus cristatus C5;6.3;7.91E-01;1.67E+00;4.09E+00;5.17E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus plumchrus C4;5.6;1.48E-01;2.80E-01;7.37E-01;4.98E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus plumchrus C5;7.3;4.52E-01;6.80E-01;1.50E+00;3.32E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Eucalanus bungii;6;4.04E-01;7.95E-01;2.01E+00;4.97E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pseudocalanus elongatus ;8.6;5.30E-03;3.97E-02;7.67E-02;1.45E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia pacifica;8.2;6.54E-02;3.82E-01;7.70E-01;1.18E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Acartia longiremis;9.6;3.50E-03;2.80E-02;4.88E-02;1.39E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Tortanus discaudatus;7;2.50E-02;1.20E-01;2.73E-01;1.09E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia pacifica;13;4.33E-02;2.74E-01;3.36E-01;7.77E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Mesocalanus tenuicornis;15.8;1.23E-02;2.20E-01;2.03E-01;1.65E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Paracalanus parvus;13.9;1.60E-03;3.10E-02;3.47E-02;2.17E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Centropages abdominaris;15.9;6.70E-03;8.55E-02;7.79E-02;1.16E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pseudodiaptomus marinus;14.3;5.70E-03;5.63E-02;6.05E-02;1.06E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus plumchrus;15.1;1.35E-01;5.55E-01;5.49E-01;4.06E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Acartia clausi;14.8;3.50E-03;3.05E-02;3.11E-02;8.90E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus gracilis;19.7;2.34E-01;1.64E+00;1.01E+00;4.33E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Centropages brachiatus;17.3;8.30E-03;1.15E-01;9.08E-02;1.09E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Acartia tonsa;22;3.00E-03;5.64E-02;2.74E-02;9.14E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Undinula vulgaris;23.5;7.71E-02;9.66E-01;4.03E-01;5.22E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Euchaeta marina;24;1.21E-01;1.34E+00;5.29E-01;4.38E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Acartia pacifica;26;3.20E-03;4.64E-02;1.50E-02;4.67E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanopia elliptica;26;2.34E-02;2.80E-01;9.03E-02;3.86E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Tortanus gracilis;26;9.80E-03;1.43E-01;4.62E-02;4.71E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Eucalanus subcrassus;24;4.31E-02;6.55E-01;2.59E-01;6.02E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Labidocera acuta;24;9.71E-02;1.89E+00;7.48E-01;7.71E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Acartia australis;25;3.80E-03;5.53E-02;1.98E-02;5.20E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Nannocalanus minor;26.9;1.70E-02;2.10E-01;6.17E-02;3.63E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Undinula vulgaris;27.6;6.98E-02;1.40E+00;3.82E-01;5.48E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Eucalanus attenuatus;27.4;5.41E-02;9.05E-01;2.52E-01;4.67E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Labidocera acuta;28.5;9.98E-02;2.07E+00;5.16E-01;5.17E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Labidocera nerii;26.4;9.53E-02;1.52E+00;4.68E-01;4.92E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pontella danae;26.4;3.00E-01;3.43E+00;1.06E+00;3.54E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus cristatus C5;5;6.76E-01;1.00E+00;2.80E+00;4.14E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus marshallae C5;8;2.39E-01;3.83E-01;7.87E-01;3.29E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus plumchrus C5;5.8;1.11E-01;2.51E-01;6.47E-01;5.82E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Neocalanus plumchrus C5;8;5.51E-01;6.48E-01;1.33E+00;2.42E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Mesocalanus tennuicornis female;22;1.23E-01;5.99E-01;2.91E-01;2.38E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia pacifica female;4.7;9.46E-02;3.98E-01;1.15E+00;1.21E+01;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Metridia pacifica female;5.8;8.24E-02;2.78E-01;7.16E-01;8.68E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pleuromamma scutullata female;6;1.46E-01;4.34E-01;1.10E+00;7.48E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pleuromamma scutullata female;5.8;1.96E-01;4.23E-01;1.09E+00;5.56E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pleuromamma scutullata female;3;1.80E-01;3.36E-01;1.16E+00;6.43E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pleuromamma abdominalis female;13.6;1.55E-01;6.84E-01;7.89E-01;5.11E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Pleuromamma xiphias female;12;1.60E-01;5.49E-01;7.47E-01;4.67E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Gaetanus simplex female;6;2.18E-01;3.64E-01;9.18E-01;4.22E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Gaetanus simplex females;3;2.30E-01;2.72E-01;9.37E-01;4.08E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Euchaeta marina female;11.3;2.05E-01;6.03E-01;8.82E-01;4.30E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Euchaeta marina female;20.2;8.62E-02;7.43E-01;4.35E-01;5.05E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Euchaeta marina female;20;1.04E-01;9.09E-01;5.43E-01;5.22E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Euchaeta marina female;16;1.51E-01;9.04E-01;8.15E-01;5.38E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Candacia bipinnata female;11.3;1.44E-01;7.09E-01;1.04E+00;7.21E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Candacia bipinnata female;20.2;4.44E-02;4.76E-01;2.79E-01;6.28E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Candacia bipinnata female;13;7.00E-02;4.04E-01;4.97E-01;7.09E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Candacia clombidea female;4.7;2.54E-01;7.60E-01;2.20E+00;8.64E+00;13;Ikeda et al. 2007 - compiled from various Ikeda papers;;;
Calanoida;Calanus cristatus V;12.1;7.40E-01;1.01E+00;1.36E+00;1.84E+00;9;Ikeda 1970;;;
Calanoida;Calanus cristatus V;11.5;1.59E+00;1.90E+00;2.72E+00;1.72E+00;9;Ikeda 1970;;;
Calanoida;Calanus cristatus V;7.8;8.82E-01;1.96E+00;4.11E+00;4.66E+00;9;Ikeda 1970;;;
Calanoida;Paraeuchaete japonica female;6.7;9.91E-01;1.12E+00;2.63E+00;2.66E+00;9;Ikeda 1970;;;
Calanoida;Eucalanus bungii female;6.3;4.58E-01;7.49E-01;1.83E+00;4.00E+00;9;Ikeda 1970;;;
Calanoida;Eucalanus bungii female;5.8;3.99E-01;8.53E-01;2.20E+00;5.51E+00;9;Ikeda 1970;;;
Calanoida;Candacia columbia female;6.3;2.07E-01;1.30E-01;3.18E-01;1.54E+00;9;Ikeda 1970;;;
Calanoida;Candacia columbia female;6.7;2.96E-01;3.10E-01;7.29E-01;2.46E+00;9;Ikeda 1970;;;
Calanoida;Calanus plumchrus V;10.1;4.19E-01;7.40E-01;1.23E+00;2.92E+00;9;Ikeda 1970;;;
Calanoida;Calanus plumchrus V;6.7;2.81E-01;6.00E-01;1.41E+00;5.02E+00;9;Ikeda 1970;;;
Calanoida;Calanus plumchrus V;10.1;3.55E-01;6.57E-01;1.09E+00;3.07E+00;9;Ikeda 1970;;;
Calanoida;Calanus plumchrus V;5.8;2.07E-01;4.09E-01;1.05E+00;5.09E+00;9;Ikeda 1970;;;
Calanoida;Calanus glacialis IV,V;5.8;3.50E-01;2.89E-01;7.45E-01;2.13E+00;9;Ikeda 1970;;;
Calanoida;Calanus glacialis IV,V;5.8;2.61E-01;2.77E-01;7.14E-01;2.73E+00;9;Ikeda 1970;;;
