class	subclass	superorder	order	family	species	Maximum_weight_(kg)	interbirth_interval_(years)	maximum_litter_size_(daughters_per_year)	age_at_maturity_(years)	annual_mortality	rmax										
Actinopterygii	Euteleostei	Acanthopterygii	Scorpaeniformes	Anoplopomatidae	Anoplopoma_fimbria	57	NA	22000	5	NA	0.03
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Carangidae	Trachurus_mediterraneus	2.86	NA	364000	2	NA	0.41
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Carangidae	Trachurus_trachurus	2	NA	364000	4	NA	0.32
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Carangidae	Trachurus_trachurus	2	NA	364000	4	NA	0.63
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Lutjanidae	Lutjanus_campechanus	22.8	NA	60000000	8	NA	0.4
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Moronidae	Morone_saxatilis	57	NA	1000000	7	NA	0.29
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Percidae	Sander_vitreus	11.3	NA	612000	5	NA	0.39
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Percidae	Sander_vitreus	11.3	NA	612000	5	NA	0.25
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Limanda_ferruginea	1.5	NA	1500000	2	NA	0.57
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Limanda_ferruginea	1.5	NA	1500000	2	NA	0.83
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.67
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.53
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.64
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.71
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.57
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.33
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.6
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes_platessa	7	NA	80000	3	NA	0.53
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius_hippoglossoides	45	NA	165000	10.5	NA	0.11
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius_hippoglossoides	45	NA	165000	10.5	NA	0.18
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius_hippoglossoides	45	NA	165000	10.5	NA	0.27
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Sciaenidae	Pennahia_argentata	0.28	NA	275000	3	NA	0.78
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Scomber_japonicus	2.9	NA	1000000	2	NA	0.3
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Scomber_scombrus	3.4	NA	400000	3	NA	0.83
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Scomber_scombrus	3.4	NA	400000	3	NA	0.4
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Thunnus_albacares	200	NA	165263000	2	NA	0.84
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Thunnus_obesus	210	NA	90000000	3.5	NA	0.35
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Thunnus_obesus	210	NA	90000000	3.5	NA	0.36
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Scombridae	Thunnus_thynnus	684	NA	60000000	8	NA	0.13
Actinopterygii	Euteleostei	Acanthopterygii	Scorpaeniformes	Scorpaenidae	Sebastes_alutus	2.1	NA	168000	8	NA	0.06
Actinopterygii	Euteleostei	Acanthopterygii	Scorpaeniformes	Scorpaenidae	Sebastes_alutus	2.1	NA	168000	8	NA	0.04
Actinopterygii	Euteleostei	Acanthopterygii	Scorpaeniformes	Scorpaenidae	Sebastes_alutus	2.1	NA	168000	8	NA	0.06
Actinopterygii	Euteleostei	Acanthopterygii	Scorpaeniformes	Scorpaenidae	Sebastes_goodei	1.54	NA	14000	4	NA	0.13
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.86
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.51
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.84
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.39
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.64
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.42
Actinopterygii	Euteleostei	Acanthopterygii	Pleuronectiformes	Soleidae	Solea_solea	3	NA	350000	3	NA	0.21
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Sparidae	Chrysophrys_auratus	20	NA	5000000	4.25	NA	0.66
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Sparidae	Chrysophrys_auratus	20	NA	5000000	4.25	NA	11.01
Actinopterygii	Euteleostei	Acanthopterygii	Perciformes	Xiphiidae	Xiphias_gladius	650	NA	431052000	5	NA	0.48
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_aestivalis	0.2	NA	197750	3.75	NA	0.72
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_aestivalis	0.2	NA	197750	3.75	NA	1.27
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_aestivalis	0.2	NA	197750	3.75	NA	0.55
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_pseudoharengus	0.2	NA	80000	3	NA	0.72
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_pseudoharengus	0.2	NA	80000	3	NA	0.51
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_pseudoharengus	0.2	NA	80000	3	NA	0.48
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_pseudoharengus	0.2	NA	80000	3	NA	0.53
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Alosa_sapidissima	5.5	NA	125166	4.5	NA	0.5
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Brevoortia_patronus	1.4	NA	335000	2	NA	0.72
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Brevoortia_tyrannus	2.88	NA	335000	2.5	NA	0.99
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	1.07
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.57
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.45
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.38
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	1.08
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.67
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.61
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.1
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.22
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.05
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.65
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.45
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.38
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.54
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.49
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.41
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Clupea_harengus	1.05	NA	142000	4	NA	0.47
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Sardinops_sagax	0.49	NA	200000	2	NA	0.26
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Sprattus_sprattus	0.04	NA	3950	2	NA	1.26
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Sprattus_sprattus	0.04	NA	3950	2	NA	0.5
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Clupeidae	Sprattus_sprattus	0.04	NA	3950	2	NA	0.7
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Engraulidae	Engraulis_encrasicolus	0.08	NA	25000	1	NA	1.54
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Engraulidae	Engraulis_encrasicolus	0.08	NA	25000	1	NA	0.88
Actinopterygii	Clupeomorpha	Clupeoforme	Clupeiformes	Engraulidae	Engraulis_mordax	0.07	NA	25000	2	NA	0.43
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.22
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.29
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.27
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.37
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.21
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.47
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.44
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	1.13
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.44
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.79
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.52
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.3
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.98
Actinopterygii	Euteleostei	Paracanthopterygii	Gadiformes	Gadidae	Gadus_morhua	96	NA	2000000	5	NA	0.59
