23000,0.16,0.86,0.65,0.19,0.16,0.42
420,0.35,,0.25,0.25,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2700,0.1,1,0.7,0.3,0.25,0.48
,,,,,,
,,,,,,
,,,,,,
1250,0.15,0.74,0.6,0.25,,
30, ,0.6,0.4,0.3,,
1100,0.35,,0.4,0.22,0.2,0.25
,,,,,,
,,,,,,
22000,0.15,0.96,0.6,0.3,,
100,0.53,,0.19,0.16,,
15,0.55,,0.4,0.35,,
,,,,,,
,,,,,,
18000,0.22,1,0.72,0.4,0.25,0.54
9000, ,,0.5,,,
850,0.26,0.4,0.3,0.16,0.1,0.25
,,,,,,
,,,,,,
22000,0.1,0.74,0.4,,,
9000, ,0.77,0.47,0.35,,
9000,,0.58,0.35,,,
,,,,,,
,,,,,,
 , ,,1.1,,,
 , ,0.58,0.42,0.26,,
11000,0.18,,,0.28,,
