"Species","Subarea","LngtClas","CPUE_number_per_hour"
"Pleuronectes platessa","42G1",20,0.667
"Gadus morhua","40F5",30,4
"Gadus morhua","41F4",30,1
"Pleuronectes platessa","42G2",30,1.333
"Gadus morhua","45F2",30,1
"Gadus morhua","38F0",40,1.111
"Gadus morhua","39F5",40,261
"Gadus morhua","40F5",40,35
"Gadus morhua","41F4",40,4
"Gadus morhua","42F3",40,1
"Gadus morhua","42F5",40,1
"Gadus morhua","42F6",40,1
"Gadus morhua","43F1",40,0.667
"Gadus morhua","44F8",40,0.667
"Gadus morhua","45F2",40,1
"Gadus morhua","47F1",40,2.5
"Gadus morhua","47F2",40,1
"Gadus morhua","47F3",40,1
"Gadus morhua","49F0",40,1.5
"Gadus morhua","49F2",40,1
"Gadus morhua","37E9",50,2
"Gadus morhua","38E8",50,2
"Gadus morhua","38E9",50,0.667
"Gadus morhua","38F0",50,0.667
"Gadus morhua","38F6",50,2.667
"Gadus morhua","39E9",50,4.667
"Gadus morhua","39F4",50,14
"Gadus morhua","39F5",50,1148
"Gadus morhua","40F0",50,1
"Gadus morhua","40F1",50,1
"Gadus morhua","40F2",50,0.5
"Gadus morhua","40F5",50,47
"Gadus morhua","40F6",50,1
"Gadus morhua","41F3",50,1.33333333333333
"Gadus morhua","41F5",50,1
"Gadus morhua","41G0",50,6
"Gadus morhua","41G2",50,1.55566666666667
"Gadus morhua","42E7",50,2
"Gadus morhua","42E9",50,2
"Gadus morhua","42F0",50,1.1665
"Gadus morhua","42F1",50,4
"Gadus morhua","42F3",50,1.5
"Gadus morhua","42F5",50,1
"Gadus morhua","42F6",50,1
"Gadus morhua","42F7",50,2
"Gadus morhua","42G1",50,1
"Gadus morhua","42G2",50,0.5335
"Gadus morhua","43F1",50,1.33333333333333
"Gadus morhua","43F2",50,1
"Gadus morhua","43F3",50,2.5
"Gadus morhua","43F5",50,1
"Gadus morhua","43F6",50,9
"Gadus morhua","43F7",50,0.667
"Gadus morhua","43F8",50,11.1666666666667
"Gadus morhua","44E7",50,2
"Gadus morhua","44E9",50,0.5
"Gadus morhua","44F0",50,0.667
"Gadus morhua","44F1",50,0.667
"Gadus morhua","44F3",50,1
"Gadus morhua","44F4",50,2.27783333333333
"Gadus morhua","44F8",50,2.889
"Gadus morhua","44F9",50,3.42866666666667
"Gadus morhua","44G0",50,3.88333333333333
"Gadus morhua","44G1",50,6.18333333333333
"Gadus morhua","45E7",50,0.5
"Gadus morhua","45E8",50,0.5
"Gadus morhua","45E9",50,1
"Gadus morhua","45F0",50,0.778
"Gadus morhua","45F1",50,1
"Gadus morhua","45F3",50,3.25
"Gadus morhua","45F4",50,1
"Gadus morhua","45F9",50,1
"Gadus morhua","45G0",50,0.9165
"Gadus morhua","45G1",50,1.8
"Gadus morhua","46E9",50,0.5
"Gadus morhua","46F0",50,3.667
"Gadus morhua","46G0",50,0.8335
"Gadus morhua","47E9",50,0.667
"Gadus morhua","47F0",50,0.8335
"Gadus morhua","47F1",50,2.25
"Gadus morhua","47F3",50,3.75
"Gadus morhua","48F1",50,5.75
"Gadus morhua","48F3",50,5
"Gadus morhua","49F0",50,1.25
"Gadus morhua","49F1",50,4
"Gadus morhua","49F2",50,14
"Gadus morhua","49F3",50,1.5
"Gadus morhua","34F1",60,2
"Gadus morhua","35F2",60,1
