"YEAR","AGE","YEARCLASS","n","mean","sd","se"
1985,0,1985,23815,10.9222338862062,1.17553190005972,0.00761744147158909
1985,1,1984,19433,16.0991097617455,4.03506600282104,0.0289454774570217
1985,2,1983,14933,23.6088528761803,3.71247913340267,0.0303801902178754
1985,3,1982,8612,27.5056897352531,3.89083891684413,0.0419267540221825
1985,4,1981,4143,31.4231233405745,3.92146665425302,0.0609243717904733
1985,5,1980,1313,34.2833206397563,4.21764989920503,0.116396028911123
1985,6,1979,684,37.2017543859649,4.0621377675628,0.155319719504791
1986,0,1986,12103,11.4566636371148,1.12714365727433,0.0102454904972636
1986,1,1985,49954,15.358409736958,3.35597488888066,0.0150152845848963
1986,2,1984,11972,23.353909121283,3.88371494259501,0.0354947393966476
1986,3,1983,6421,28.5980376888335,3.5315563466738,0.0440722075842299
1986,4,1982,3944,30.571247464503,3.75883368920978,0.0598528255469018
1986,5,1981,1279,35.2197028928851,2.70675031195184,0.0756855416368457
1986,6,1980,550,37.3163636363636,2.46688550471905,0.105188351354674
1987,0,1987,28019,11.7791855526607,1.4363853860189,0.00858113357470403
1987,1,1986,32690,15.9035790761701,3.4308171511608,0.0189753638516824
1987,2,1985,36110,21.7451398504569,3.13897332961518,0.0165186245214191
1987,3,1984,6884,25.8473271353864,4.50773852861381,0.0543298224829858
1987,4,1983,1915,32.0422976501305,5.00018672014676,0.114262003069013
1987,5,1982,957,35.3322884012539,3.77149797221139,0.121915215217633
1987,6,1981,474,36.9683544303797,2.9082245829827,0.133579179138416
1988,0,1988,15876,11.1426681783825,1.25249625585343,0.00994044647502719
1988,1,1987,27444,16.2614050429966,3.34731010521555,0.0202056228929039
1988,2,1986,22508,21.1519459747645,3.63764098004314,0.0242466297380894
1988,3,1985,24715,25.0390451143031,3.42479121227046,0.0217848108302777
1988,4,1984,5071,28.355748373102,4.09714938991236,0.0575353811104317
1988,5,1983,561,34.777183600713,3.90035436807833,0.164673090491086
1988,6,1982,254,36.9094488188976,3.50432670050216,0.219881013133073
1989,0,1989,14825,11.5791568296796,1.5519724289286,0.0127463738060812
1989,1,1988,16943,16.545948179189,3.01532679618442,0.0231653694951386
1989,2,1987,21357,21.64845249801,3.8298994586071,0.0262069964168005
1989,3,1986,5826,26.4929625815311,3.28931712040655,0.0430943669464213
1989,4,1985,7484,27.5423570283271,3.48735469468481,0.0403115253523687
1989,5,1984,1067,27.2361761949391,4.37913391923817,0.134062099651272
1989,6,1983,55,40.0909090909091,3.32372352146475,0.448170788207476
1990,0,1990,18682,11.5001605823788,1.51830716659046,0.011108309155019
1990,1,1989,13647,16.2576390415476,3.07472214170835,0.0263200845179103
1990,2,1988,13180,21.1960546282246,4.19108237485835,0.0365063566012142
1990,3,1987,9672,24.6722497932175,4.03511922269988,0.0410296891908709
1990,4,1986,4558,27.9344010530935,4.04178813532971,0.0598668467869007
1990,5,1985,1506,30.6865869853918,4.53660410242392,0.116901045491497
1990,6,1984,144,35.5208333333333,3.34071879958522,0.278393233298768
1991,0,1991,15327,11.4332876622953,1.43431448238043,0.0115855272979691
1991,1,1990,15890,16.8418502202643,3.13394488196987,0.024861618930806
1991,2,1989,14464,23.0577295353982,3.27970546566333,0.0272703452981673
1991,3,1988,5826,25.8982148987298,3.64687276074147,0.0477788146309459
1991,4,1987,2907,28.7980736154111,3.58441938924075,0.0664808099646448
1991,5,1986,803,32.2577833125778,3.42821628556585,0.120979125545308
1991,6,1985,829,33.8069963811821,4.02334963629568,0.139736708718313
1992,0,1992,8393,11.623734064101,1.68976592650333,0.0184445446023853
1992,1,1991,13786,16.0561439141158,2.84304118473977,0.0242138592663203
1992,2,1990,13157,22.2347799650376,3.15900413683103,0.0275404959821291
1992,3,1989,3609,26.7611526738709,3.10005514599745,0.0516031221285875
1992,4,1988,1078,29.9536178107607,3.6795604591137,0.112069275108117
1992,5,1987,503,32.337972166998,3.962610293967,0.176684060234254
1992,6,1986,505,30.780198019802,4.99456092660799,0.222255044155744
1993,0,1993,8897,11.640665392829,1.709783503589,0.0181267242141134
1993,1,1992,8135,16.9285802089736,3.04957612934188,0.0338112090473047
1993,2,1991,19516,20.9760196761631,3.56406738665031,0.0255123522166695
1993,3,1990,6227,23.9670788501686,4.18025146074032,0.0529740252790664
1993,4,1989,901,30.5948945615982,2.70002808935663,0.0899509774202715
1993,5,1988,215,34.3767441860465,2.81558058365206,0.192021002037368
1993,6,1987,169,35.189349112426,2.99000400979422,0.230000308445709
1994,0,1994,10289,11.2692195548644,1.50982596329726,0.0148847075337049
1994,1,1993,5541,17.8857606930157,3.62703164824611,0.0487256083429255
1994,2,1992,6487,22.6096809002621,3.40107798929678,0.0422274291359531
1994,3,1991,3004,26.7922769640479,3.28684097854415,0.0599692653700793
1994,4,1990,1407,27.1556503198294,5.03705420498738,0.134285640735462
1994,5,1989,370,33.3945945945946,3.31146861089552,0.172155055510121
1994,6,1988,88,36,2.50516707406223,0.267051707390278
1995,0,1995,7685,11.593754066363,1.66405878632637,0.0189822080321597
1995,1,1994,7340,17.1403269754768,3.07496967605986,0.0358915990350472
1995,2,1993,3915,23.807662835249,3.01199145381753,0.0481379788831038
1995,3,1992,1204,28.764950166113,2.86267592714381,0.082500948669914
1995,4,1991,589,31.6672325976231,3.47654374977587,0.143248489647387
1995,5,1990,95,35.1684210526316,3.07582416417353,0.315572900726245
1995,6,1989,83,36.421686746988,3.10436546254885,0.340748377734227
1996,0,1996,14254,10.2950049109022,1.36433057052898,0.0114275000862326
1996,1,1995,5594,16.7735073292814,3.23925374838879,0.0433095567494838
1996,2,1994,21619,21.5437346778297,3.30513607204285,0.0224787182192279
1996,3,1993,4735,26.9522703273495,3.21399864706467,0.0467074005684696
1996,4,1992,1046,31.8221797323136,3.24692352441615,0.100393643833594
1996,5,1991,540,34.2814814814815,3.46174825126402,0.148969925843425
1996,6,1990,255,36.4823529411765,3.17449889916013,0.198794832267714
1997,0,1997,8402,11.3571768626517,1.64253050738916,0.0179193439702657
1997,1,1996,23047,14.5158155074413,2.74431860676647,0.0180770404273606
1997,2,1995,9125,20.1335890410959,4.44719314261857,0.0465553455845142
1997,3,1994,2138,27.4209541627689,3.87685628118263,0.0838447455641728
1997,4,1993,558,31.9623655913978,2.87258123291781,0.121606060466308
1997,5,1992,125,34.048,3.564737695639,0.318839832376191
1997,6,1991,119,35.9075630252101,2.7246259162876,0.249766048242495
1998,0,1998,14856,9.36900915455035,1.48197044715609,0.0121587407319866
1998,1,1997,9650,15.2042487046632,3.43912649161075,0.0350093858996018
1998,2,1996,27603,20.1377024236496,2.76100135971686,0.0166183720551713
1998,3,1995,11880,21.5509259259259,3.66961148806529,0.0336675773370942
1998,4,1994,1435,26.7407665505226,6.5383518899716,0.172600615381381
1998,5,1993,361,33.393351800554,4.34170474849624,0.228510776236644
1998,6,1992,135,36.9111111111111,3.51429207042029,0.302462103609923
1999,0,1999,10016,11.2043730031949,1.80681155471583,0.0180536783770166
1999,1,1998,6395,17.2071931196247,2.76027013124627,0.0345168624244197
1999,2,1997,19782,20.723940956425,3.24475865064368,0.0230699843648195
1999,3,1996,15290,23.8476128188358,3.32863213165281,0.0269191943791355
1999,4,1995,2021,28.9579416130628,4.00095440576187,0.0889980406552175
1999,5,1994,613,33.2283849918434,3.92245631766084,0.15842651851342
1999,6,1993,121,35.0826446280992,5.20670525518058,0.473336841380053
2000,0,2000,6701,11.2716012535442,1.59727780173109,0.0195123980572359
2000,1,1999,4352,17.7306985294118,2.96468057032168,0.0449400409472525
2000,2,1998,11382,21.4449130205588,3.53695591624943,0.0331528108849619
2000,3,1997,6843,23.6732427297969,4.98450347398542,0.0602557689469538
2000,4,1996,5637,24.1946070604932,5.50474851557932,0.0733184821590596
2000,5,1995,700,30.9171428571429,4.66950572015388,0.176490726873153
2000,6,1994,321,33.6323987538941,4.21404758403348,0.235205200000918
2001,0,2001,13876,11.4712453156529,1.56316903528087,0.0132700878497792
2001,1,2000,3824,16.0418410041841,4.1724312689419,0.0674730356301347
2001,2,1999,8909,22.3626669659894,3.54154924622171,0.0375213802386793
2001,3,1998,3821,25.7414289453023,3.63118156090568,0.0587434495298823
