Species;Year;Quarter;Species Number;Age;M1;M2;M;F;Z;Stock Numbers;Catch numbers (1000);Mean Stock weight (kg);Catch Mean weight (kg);Yield (tonnes);Proportion Mature;Biomass (tonnes);Spawning Biomasss (tonnes)
Cod;1963;1;15;1;0.05;0.121631;0.2;0.00575395;0.177385;212365;19444.8;0.0519;0.314;6105.68;0.01;11021.8;110.218
Cod;1963;1;15;2;0.05;0.0476947;0.0875;0.172318;0.270013;125467;62593.8;0.576;0.808;50575.8;0.05;72269.1;3613.45
Cod;1963;1;15;3;0.05;0.000214804;0.0625;0.193888;0.244103;25395.6;7063.36;2.657;2.647;18696.7;0.23;67476;15519.5
Cod;1963;1;15;4;0.05;0;0.05;0.161291;0.211291;10635.8;3536.4;4.491;4.491;15881.9;0.62;47765.5;29614.6
Cod;1963;1;15;5;0.05;0;0.05;0.16445;0.21445;7233.56;2788.35;6.794;6.794;18944.1;0.86;49144.8;42264.5
Cod;1963;1;15;6;0.05;0;0.05;0.168028;0.218028;3076.61;1212.94;9.409;9.409;11412.6;1;28947.8;28947.8
Cod;1963;1;15;7;0.05;0;0.05;0.165412;0.215412;436.815;80.986;11.562;11.562;936.36;1;5050.46;5050.46
Cod;1963;1;15;8;0.05;0;0.05;0.165412;0.215412;887.468;491.732;11.942;11.942;5872.26;1;10598.1;10598.1
Cod;1963;1;15;9;0.05;0;0.05;0.165412;0.215412;41.4206;13.5;13.383;13.383;180.67;1;554.332;554.332
Cod;1963;1;15;10;0.05;0;0.05;0.165412;0.215412;12.4262;6.784;13.756;13.901;94.3044;1;170.935;170.935
Cod;1963;2;15;1;0.05;0.104194;0.2;0.0151041;0.169299;177847;0;0.116;0.001;0;0.01;20630.2;206.302
Cod;1963;2;15;2;0.05;0.0643025;0.0875;0.184324;0.298627;95777.8;0;0.682;0.001;0;0.05;65320.5;3266.02
Cod;1963;2;15;3;0.05;0;0.0625;0.188321;0.238321;19895.1;0;3.5192;0.001;0;0.23;70014.8;16103.4
Cod;1963;2;15;4;0.05;0;0.05;0.156659;0.206659;8610.11;0;5.43003;0.001;0;0.62;46753.1;28986.9
Cod;1963;2;15;5;0.05;0;0.05;0.140335;0.190335;5837.38;0;7.31757;0.001;0;0.86;42715.4;36735.3
Cod;1963;2;15;6;0.05;0;0.05;0.143389;0.193389;2473.91;0;9.91825;0.001;0;1;24536.9;24536.9
Cod;1963;2;15;7;0.05;0;0.05;0.141156;0.191156;352.165;0;12.6026;0.001;0;1;4438.18;4438.18
Cod;1963;2;15;8;0.05;0;0.05;0.141156;0.191156;715.484;0;12.2707;0.001;0;1;8779.48;8779.48
Cod;1963;2;15;9;0.05;0;0.05;0.141156;0.191156;33.3937;0;13.7121;0.001;0;1;457.897;457.897
Cod;1963;2;15;10;0.05;0;0.05;0.141156;0.191156;10.0181;0;13.9629;0.001;0;1;139.881;139.881
Cod;1963;3;15;0;0.05;0.7848;0.675;0;0.8348;1711190;0;0.00598;0.001;0;0;10232.9;0
Cod;1963;3;15;1;0.05;0.0590047;0.2;0.0640127;0.173017;150148;0;0.23;0.001;0;0.01;34534.1;345.341
Cod;1963;3;15;2;0.05;0.0333195;0.0875;0.146188;0.229508;71051.5;0;0.829;0.001;0;0.05;58901.7;2945.08
Cod;1963;3;15;3;0.05;0;0.0625;0.111104;0.161104;15676.3;0;4.01189;0.001;0;0.23;62891.7;14465.1
Cod;1963;3;15;4;0.05;0;0.05;0.092425;0.142425;7002.57;0;6.23296;0.001;0;0.62;43646.8;27061
Cod;1963;3;15;5;0.05;0;0.05;0.0792104;0.12921;4825.66;0;8.48938;0.001;0;0.86;40966.8;35231.5
Cod;1963;3;15;6;0.05;0;0.05;0.0809343;0.130934;2038.9;0;10.1729;0.001;0;1;20741.5;20741.5
Cod;1963;3;15;7;0.05;0;0.05;0.0796741;0.129674;290.889;0;13.8744;0.001;0;1;4035.91;4035.91
Cod;1963;3;15;8;0.05;0;0.05;0.0796741;0.129674;590.993;0;12.7089;0.001;0;1;7510.88;7510.88
Cod;1963;3;15;9;0.05;0;0.05;0.0796741;0.129674;27.5833;0;14.0412;0.001;0;1;387.302;387.302
Cod;1963;3;15;10;0.05;0;0.05;0.0796741;0.129674;8.27498;0;14.1697;0.001;0;1;117.254;117.254
Cod;1963;4;15;0;0.05;0.352463;0.675;0;0.402463;742589;0;0.0225;0.001;0;0;16708.2;0
Cod;1963;4;15;1;0.05;0.121507;0.2;0.179811;0.351317;126293;0;0.377;0.001;0;0.01;47612.6;476.126
Cod;1963;4;15;2;0.05;0.0455678;0.0875;0.0882778;0.183846;56480.6;0;1.12;0.001;0;0.05;63258.3;3162.91
Cod;1963;4;15;3;0.05;0;0.0625;0.0605144;0.110514;13343.7;0;4.66295;0.001;0;0.23;62221.1;14310.9
Cod;1963;4;15;4;0.05;0;0.05;0.0503404;0.10034;6073;0;6.85898;0.001;0;0.62;41654.6;25825.8
Cod;1963;4;15;5;0.05;0;0.05;0.041866;0.091866;4240.73;0;9.38694;0.001;0;0.86;39807.5;34234.5
Cod;1963;4;15;6;0.05;0;0.05;0.0427771;0.0927771;1788.68;0;10.573;0.001;0;1;18911.7;18911.7
Cod;1963;4;15;7;0.05;0;0.05;0.0421111;0.0921111;255.512;0;14.0029;0.001;0;1;3577.9;3577.9
Cod;1963;4;15;8;0.05;0;0.05;0.0421111;0.0921111;519.117;0;13.0376;0.001;0;1;6768.04;6768.04
Cod;1963;4;15;9;0.05;0;0.05;0.0421111;0.0921111;24.2286;0;14.2606;0.001;0;1;345.514;345.514
