SpecCode	Loo	ClassNum	Marine	Brackish	Freshwater	LhMax	LhMin	LhMid	Eggdiammod	RepGuild1	Genus	Species species2 species3
001432	29.8	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
000003	14.5	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	15.4	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	18.3	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	21.7	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	25.8	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	21.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	28.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	31.3	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	10.7	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	14.5	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
001432	32.3	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001432	24	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
000003	30.7	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
004586	29.6	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	inermis
001432	18	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001432	31	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001432	27.3	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001432	15.3	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001432	22.2	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
001693	15	6	1	1	1	-1	-1	2.5	-1	bearers	Apogon	imberbis
000003	25.8	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
003283	14	6	1	1	1	-1	-1	9	1.5	bearers	Hippocampus	erectus
000501	33.8	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	39.8	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	75.6	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	73.2	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	40.7	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	35.2	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000501	46.2	6	1	0	0	7.2	6.7	-1	-1	bearers	Sebastes	marinus
000503	52.3	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	flavidus
000003	14.3	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	14.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	14.5	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	10.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	12.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	12.8	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
004600	9.2	6	1	1	1	-1	-1	-1	-1	bearers	Apogon	cyanosoma
000003	13.6	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
001412	12.2	6	0	1	1	11.5	9.2	10.4	3.3	bearers	Sarotherodon	melanotheron melanotheron
000003	14.1	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
001432	25.3	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
000003	14.5	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000003	12.7	6	0	1	1	-1	-1	-1	2.5	bearers	Oreochromis	mossambicus
000505	32.7	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	mentella
001413	22.4	6	0	1	1	11.5	9	10.3	3	bearers	Oreochromis	leucostictus
000504	40.3	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
000504	50.6	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
000504	43	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
000504	46	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
000505	52.5	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	mentella
000505	49.2	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	mentella
000505	53.2	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	mentella
000504	40	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
000505	49.2	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	mentella
000504	43.2	6	1	0	0	-1	-1	-1	-1	bearers	Sebastes	alutus
001280	45	6	1	1	1	-1	-1	-1	-1	bearers	Arius	maculatus
000076	29	6	1	0	0	-1	-1	2.44	0.96	bearers	Helicolenus	dactylopterus dactylopterus
000076	21.2	6	1	0	0	-1	-1	2.44	0.96	bearers	Helicolenus	dactylopterus dactylopterus
000076	42.1	6	1	0	0	-1	-1	2.44	0.96	bearers	Helicolenus	dactylopterus dactylopterus
000076	31	6	1	0	0	-1	-1	2.44	0.96	bearers	Helicolenus	dactylopterus dactylopterus
000076	37.2	6	1	0	0	-1	-1	2.44	0.96	bearers	Helicolenus	dactylopterus dactylopterus
001352	36	6	1	0	0	6	4	5	-1	bearers	Sebastes	viviparus
001432	41.1	6	0	1	1	-1	-1	10	3.5	bearers	Oreochromis	shiranus shiranus
