Order;Scientific name;Type;FBRP;M;K;Amax;L∞;Habitat;Reference
Carcharhiniformes;Carcharhinus cronotus;Fmsy;0.098;0.18;0.26;17.42;253.86; ;22
Carcharhiniformes;Carcharhinus cronotus;Fmsy;0.04;0.18;0.26;17.42;253.86; ;7
Carcharhiniformes;Carcharhinus isodon;Fmsy;0.115;0.18;0.26;17.42;253.86;demersal;22
Carcharhiniformes;Carcharhinus isodon;Fmsy;0.03;0.18;0.26;17.42;253.86;demersal;7
Carcharhiniformes;Carcharhinus limbatus;Fmsy;0.2;0.247;0.247;18;179;reef;22
Carcharhiniformes;Carcharhinus obscurus;Fmsy;0.012;0.113;0.039;40;374.3;demersal;22
Carcharhiniformes;Carcharhinus plumbeus;Fmsy;0.15;0.105;0.062;35;204;demersal;22
Carcharhiniformes;Rhizoprionodon porosus;Fmsy;0.106;0.55;0.66;10;99.45;reef;22
Carcharhiniformes;Rhizoprionodon taylori;Fmsy;0.08;0.55;1.175;10;69.1;pelagic;7
Carcharhiniformes;Sphyrna tibur;Fmsy;0.096;0.25;0.25;6;212.15; ;7
Lamniformes;Lamna nasus;Fmsy;0.046;0.132;0.085;30;282.6;pelagic;22
Squaliformes;Squalus acanthias;Fmsy;0.208;0.09;0.1;75;160;benthopelagic;13
Carcharhiniformes;Galeorhinus galeus;Fproxy;0.169;0.098;0.124;55;171.7;benthopelagic;26
Carcharhiniformes;Mustelus antarcticus;Fproxy;0.285;0.33;0.146;18;182.4;demersal;26
Lamniformes;Isurus oxyrinchus;Fproxy;0.063;0.125;0.179;28;322.6;demersal;4
Squaliformes;Squalus acanthias;Fproxy;0.11;0.09;0.078;75;110.8;benthopelagic;22
Carcharhiniformes;Carcharhinus limbatus;F0.5r;0.066;0.247;0.247;18;179;reef;30
Carcharhiniformes;Rhizoprionodon terraenovae;F0.5r;0.106;0.44;0.332;10;101.8;demersal;30
Carcharhiniformes;Rhizoprionodon terraenovae;F0.5r;0.022;0.42;0.332;10;101.8;demersal;8
Carcharhiniformes;Sphyrna tibur;F0.5r;0.142;0.25;0.25;6;212.15; ;8
Carcharhiniformes;Carcharhinus obscurus;F0.5r;0.025;0.113;0.039;40;374.3;demersal;30
Carcharhiniformes;Carcharhinus obscurus;F0.5r;0.015;0.113;0.039;40;374.3;demersal;6
Carcharhiniformes;Prionace glauca;F0.5r;0.151;0.2;0.1571;20;347;pelagic;28
Carcharhiniformes;Prionace glauca;F0.5r;0.074;0.223;0.1571;20;347;pelagic;28
Carcharhiniformes;Prionace glauca;F0.5r;0.18;0.23;0.1571;20;347;pelagic;3
Carcharhiniformes;Prionace glauca;F0.5r;0.169;0.23;0.1571;20;347;pelagic;6
Squaliformes;Centrophorus harrissoni;F0.5r;0.04;0.09;0.1;71;108.91;bathy;11
Squaliformes;Centrophorus moluccensis;F0.5r;0.03;0.13;0.08;71;103;bathy;11
Squaliformes;Centrophorus zeehaani;F0.5r;0.03;0.16;0.08;71;94; ;11
Squaliformes;Deania calcea;F0.5r;0.04;0.17;0.106;37;106.2;bathy;11
Squaliformes;Deania quadrispinosa;F0.5r;0.04;0.11;0.11;71;106.25;bathy;11
Squaliformes;Dalatias licha;F0.5r;0.04;0.13;0.1;75;108.91;bathy;11
Squaliformes;Etmopterus granulosus;F0.5r;0.06;0.09;0.1;75;108.91;bathy;11
Squaliformes;Centroscymnus crepidater;F0.5r;0.04;0.09;0.1;54;108.91;bathy;11
Squaliformes;Centroscymnus owstoni;F0.5r;0.05;0.17;0.1;29;124;bathy;11
Squaliformes;Centroscymnus plunketi;F0.5r;0.05;0.16;0.07;39;134;bathy;11
Squaliformes;Squalus megalops;F0.5r;0.06;0.09;0.1;32;108.91;bathy;11
Squaliformes;Squalus mitsukurii;F0.5r;0.06;0.09;0.1;27;108.91;bathy;11
Heterodontiformes ;Heterodontus portusjacksoni;F0.5r;0.035;0.0665;0.05;58;168;demersal;25
Lamniformes;Alopias superciliosus;F0.5r;0.005;0.13;0.089;19;403.5;pelagic;28
Lamniformes;Alopias vulpinus;F0.5r;0.059;0.11;0.1;22;651;pelagic;6
Lamniformes;Alopias vulpinus;F0.5r;0.042;0.234;0.1;22;651;pelagic;30
Lamniformes;Alopias vulpinus;F0.5r;0.071;0.11;0.1;22;651;pelagic;28
Carcharhiniformes;Carcharhinus falciformis;F0.5r;0.038;0.08;0.097;23;343.7;demersal;28
Carcharhiniformes;Carcharhinus falciformis;F0.5r;0.028;0.179;0.097;23;343.7;demersal;6
Carcharhiniformes;Carcharhinus falciformis;F0.5r;0.052;0.179;0.097;23;343.7;demersal;30
Carcharhiniformes;Carcharhinus falciformis;F0.5r;0.051;0.08;0.097;23;343.7;demersal;6
Carcharhiniformes;Carcharhinus longimanus;F0.5r;0.055;0.18;0.101;22;265;demersal;6
Carcharhiniformes;Carcharhinus longimanus;F0.5r;0.081;0.203;0.101;22;265;demersal;30
Carcharhiniformes;Carcharhinus longimanus;F0.5r;0.044;0.18;0.101;22;265;demersal;28
Lamniformes;Isurus oxyrinchus;F0.5r;0.066;0.125;0.179;28;322.6;demersal;6
Lamniformes;Isurus oxyrinchus;F0.5r;0.061;0.16;0.179;28;322.6;demersal;30
Lamniformes;Isurus oxyrinchus;F0.5r;0.022;0.125;0.179;28;322.6;demersal;28
Lamniformes;Isurus paucus;F0.5r;0.07;0.13;0.18;28;419.3;pelagic;28
Rajiformes ;Pteroplatytrygon violacea;F0.5r;0.085;0.15;0.18;16;116;reef;28
