species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Sebastes crameri,Scorpaeniformes,2,o,,t,v,1,f,45.57,0.57,,,0.1779,-0.92,36.7,0.07,7,1,102985.6116,0.014663369,3.0359,Nichol 1990,Nichol 1990,Matarese 1989,Nichol 1990,Nichol 1990,Nichol 1990,Archibald etal 1981,,Nichol1990,,,
Sebastes elongatus,Scorpaeniformes,2,o,,t,v,1,f,37.4,0.48,,,0.08,-3.46,21,0.149,7,1,26000,0.00648926,3.2145,Shaw & Gunderson 2006,Shaw & Gunderson 2006,Kendall 1982,Shaw & Gunderson 2006,Shaw & Gunderson 2006,Shaw & Gunderson 2006,Shaw & Gunderson 2006,Shaw & Gunderson 2006,Haldorson and Love 1991,,,
Sebastes flavidus,Scorpaeniformes,2,o,,t,v,1,f,52.3,0.45,0.00045,,0.157,-0.95,43,0.1,12,1,125000,0.0287,2.82199,Love etal 1990,Archibald etal 1981,Beyer 2013 Matarese etal 1989,Archibald etal 1981,Archibald etal 1981,Haldorson & Love 1991,Archibald etal 1981,Eldridge et al 1991,Haldorson and Love 1991,,,
Gadus macrocephalus,Gadiformes,4,o,,t,o,2,f,89.48,0.43,,,0.307,-0.116,51.5,0.65,7.6,1,1390000,0.00376,3.28,Orlov & Bonohlan 2009,Westrheim 1986,Westrheim 1986,Westrheim 1986,Westrheim 1986,Westrheim 1986,Fournier 1983,Gunderson 1997,Westrheim 1986,materese,,
Gadus morhua,Gadiformes,4,o,,t,o,2,c,80,0.35,,,0.21,-0.7,52,0.2,4,1,368333.3333,0.010465,2.98,Salvenes & Ulltang 1992,Heino etal 2012,Knutsen etal 2011,Heino etal 2012,Heino etal 2012,Heino etal 2012,Larsen & Pedersen 2010,Bucholtz etal 2007,Kjesbu1996,Kjesbu1996,,
Gadus morhua,Gadiformes,4,o,,t,o,2,c,96.96,,,,0.12,,54,0.19,8,,,0.01047,2.96,Minet 1978,Kohler 1964,,Kohler 1964,,Beacham 1983,Paloheimo & Kohler 1968,,,,,
Gadus morhua,Gadiformes,4,o,,t,o,2,c,100.34,0.45,,,0.154,-0.376,40,0.3,4,1,219120.7299,0.01047,2.96,Minet 1978,Sinclair 2001,Fahay 1983,Sinclair 2001,Sinclair 2001,Beacham 1983,Sinclair 2001,Buzeta & Waiwood 1982,Buzeta & Waiwood 1982,,,
Hippoglossoides platessoides,Pleuronectiformes,5,o,,t,o,2,f,72.47,0.24,,,0.11,0.057,50,0.18,3.9,1,512936.952,0.005489,3.099,Bakken 1987,Pitt 1973,NOAA 1999,Pitt 1973,Pitt 1973,Pitt 1973,Pitt 1973,Pitt 1964,Pitt 1964,,,
Melanogrammus aeglefinus,Gadiformes,4,o,,t,o,2,f,69.61,,,,0.09,-3.75,44.4,,7.8,,,0.00964791,2.98,Kohler 1959,Templeman etal 1978 (age ...),Fahay 1983,Templeman etal 1978 (age ...),Templeman etal 1978 (age ...),Templeman etal 1978 (sex mat),,Templeman etal 1978 (sex mat),,,,
Melanogrammus aeglefinus,Gadiformes,4,o,,t,o,2,f,66.81,,,,0.12,-2.07,36.8,,7.8,,,0.00964791,2.98,Kohler 1959,Templeman etal 1978 (age ...),Fahay 1983,Templeman etal 1978 (age ...),Templeman etal 1978 (age ...),Templeman etal 1978 (sex mat),,Templeman etal 1978 (sex mat),,,,
